Video_ID,Video_Name,Date,View_Count,Like_Count,Comment_Count,Tags
3cbiZV4H22c,Immediately Invoked Function Expression - Beau teaches JavaScript,2017-04-10T17:39:31Z,65892,1965,65,"['iife', 'functions', 'block scope', 'closure']"
_1BPrCHcjhs,Map data structure & ES6 map object - Beau teaches JavaScript,2017-04-09T20:55:53Z,40261,525,19,"['es6', 'map', 'map object', 'data structure']"
w5whn4iJCLc,Get current URL with JavaScript (and jQuery) - Beau teaches JavaScript,2017-04-07T16:49:10Z,5582,109,3,"['javascript', 'jquery', 'current url', 'url path', 'window', 'url', 'href', 'location']"
-vR3a11Wzt0,Destructuring in ES6 - Beau teaches JavaScript,2017-04-06T16:26:51Z,68278,2236,103,['destructuring']
22fyYvxz-do,Arrow Functions  - Beau teaches JavaScript,2017-04-05T16:18:03Z,59244,1433,34,"['arrow functions', 'es6', 'this', 'bind']"
Aagf3RyK3Lw,Binary Search Tree: Traversal & Height - Beau teaches JavaScript,2017-04-02T15:07:18Z,33025,368,15,"['inorder', 'preorder', 'postorder', 'height', 'levelorder', 'bst']"
HzWf-EeE3uI,Clean Code: Formatting and Comments - Beau teaches Javascript,2017-04-01T15:08:59Z,20181,493,15,"['clean code', 'formatting', 'comments']"
eOI9GzMfd24,THIS keyword - Beau teaches JavaScript,2017-03-31T17:34:54Z,56938,937,70,"['this', 'scope', 'call', 'apply', 'bind', 'arrow function', 'object', 'keyword']"
sPmRfjJdg5Y,Strings: [bracket notation] - Beau teaches JavaScript,2017-03-29T17:38:57Z,29566,355,13,"['strings', 'brackets', 'bracket notation', '[]', 'javascript']"
EeZBKv34mm4,Copying Arrays (deep and shallow) - Beau teaches JavaScript,2017-03-28T18:23:51Z,44088,1003,56,"['deep', 'array in array', 'slice', 'spread', 'copy']"
a3KHBqH7njs,for in / for of - Beau teaches JavaScript,2017-03-27T20:13:46Z,75699,1744,63,"['for in', 'for of', 'loops', 'properties', 'javascript', 'iteration']"
5cU1ILGy6dM,Binary Search Tree - Beau teaches JavaScript,2017-03-26T19:50:46Z,110561,1797,78,"['tree', 'binary search tree', 'data structure', 'node', 'find', 'traversal', 'es6', 'class']"
QnLBGxtteV8,"Clean Code: Testing, Concurrency, & Error Handling - Beau teaches JavaScript",2017-03-25T16:41:08Z,9295,211,1,"['clean code', 'async', 'await', 'promises', 'testing', 'errors', 'log']"
v9zgD8wjtbw,While / Do While - Beau teaches JavaScript,2017-03-24T16:20:56Z,33588,628,19,"['while', 'do while', 'do', 'loops', 'basics', 'javascript']"
Vd_Z1bYGrCM,String Basics - Beau teaches JavaScript,2017-03-23T17:15:31Z,29128,365,21,"['strings', 'string literals', 'basics', 'training']"
-xAJKmjKCUE,Random numbers & parseInt - Beau teaches JavaScript,2017-03-23T09:12:28Z,28773,446,22,"['random', 'math.random', 'math.floor', 'parseint', 'radix']"
